"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
27,127,"LBR","Liberia",6,"GrandGedeh",27,"Gbarzon","District","District",NA,NA
28,127,"LBR","Liberia",6,"GrandGedeh",28,"Konobo","District","District",NA,NA
29,127,"LBR","Liberia",6,"GrandGedeh",29,"Tchien","District","District",NA,NA
30,127,"LBR","Liberia",7,"GrandKru",30,"Buah","District","District",NA,NA
31,127,"LBR","Liberia",7,"GrandKru",31,"Lower Kru Coast","District","District",NA,NA
32,127,"LBR","Liberia",7,"GrandKru",32,"Sasstown 180606","District","District",NA,NA
33,127,"LBR","Liberia",7,"GrandKru",33,"Upperkrucoast","District","District",NA,NA
34,127,"LBR","Liberia",8,"Lofa",34,"Foya","District","District",NA,NA
35,127,"LBR","Liberia",8,"Lofa",35,"Kolahun","District","District",NA,NA
36,127,"LBR","Liberia",8,"Lofa",36,"Lower Kru Coast","District","District",NA,NA
37,127,"LBR","Liberia",8,"Lofa",37,"Salayea","District","District",NA,NA
38,127,"LBR","Liberia",8,"Lofa",38,"Voinjama","District","District",NA,NA
39,127,"LBR","Liberia",8,"Lofa",39,"Zorzor","District","District",NA,NA
40,127,"LBR","Liberia",9,"Margibi",40,"Firestone","District","District",NA,NA
41,127,"LBR","Liberia",9,"Margibi",41,"Gibi","District","District",NA,NA
42,127,"LBR","Liberia",9,"Margibi",42,"Kakata","District","District",NA,NA
43,127,"LBR","Liberia",9,"Margibi",43,"Mambah-Kaba","District","District",NA,NA
44,127,"LBR","Liberia",10,"Maryland",44,"Barrobo","District","District",NA,NA
45,127,"LBR","Liberia",10,"Maryland",45,"Pleebo/Sodeken","District","District",NA,NA
46,127,"LBR","Liberia",11,"Montserrado",46,"Careysburg","District","District",NA,NA
47,127,"LBR","Liberia",11,"Montserrado",47,"Greater Monrovia","District","District",NA,NA
48,127,"LBR","Liberia",11,"Montserrado",48,"St Paul River","District","District",NA,NA
49,127,"LBR","Liberia",11,"Montserrado",49,"Todee","District","District",NA,NA
50,127,"LBR","Liberia",12,"Nimba",50,"Gbehlageh","District","District",NA,NA
51,127,"LBR","Liberia",12,"Nimba",51,"Saclepea","District","District",NA,NA
52,127,"LBR","Liberia",12,"Nimba",52,"Sanniquelleh-Mahn","District","District",NA,NA
53,127,"LBR","Liberia",12,"Nimba",53,"Tappita","District","District",NA,NA
54,127,"LBR","Liberia",12,"Nimba",54,"Yarwein-Mehnsohnne","District","District",NA,NA
55,127,"LBR","Liberia",12,"Nimba",55,"Zoegeh","District","District",NA,NA
56,127,"LBR","Liberia",13,"River Cess",56,"Morweh","District","District",NA,NA
57,127,"LBR","Liberia",13,"River Cess",57,"Timbo","District","District",NA,NA
58,127,"LBR","Liberia",14,"River Gee",58,"Gbeapo","District","District",NA,NA
59,127,"LBR","Liberia",14,"River Gee",59,"Webbo","District","District",NA,NA
60,127,"LBR","Liberia",15,"Sinoe",60,"Butaw","District","District",NA,NA
61,127,"LBR","Liberia",15,"Sinoe",61,"Dugbe River","District","District",NA,NA
62,127,"LBR","Liberia",15,"Sinoe",62,"Greenville","District","District",NA,NA
63,127,"LBR","Liberia",15,"Sinoe",63,"Jaedae Jaedepo","District","District",NA,NA
64,127,"LBR","Liberia",15,"Sinoe",64,"Juarzon","District","District",NA,NA
65,127,"LBR","Liberia",15,"Sinoe",65,"Kpayan","District","District",NA,NA
66,127,"LBR","Liberia",15,"Sinoe",66,"Pyneston","District","District",NA,NA
